asset_type,entity_id,display_name,superstar_id,set_id,primary_image_path,base_plate_path,notes
superstar-full,iyo-sky,IYO SKY,iyo-sky,evolution-series-1,assets/images/iyo-sky-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,iyo-sky,IYO SKY,iyo-sky,evolution-series-1,assets/images/iyo-sky-menu.webp,,Canonical menu/hero image
superstar-headshot,iyo-sky,IYO SKY,iyo-sky,evolution-series-1,assets/images/iyo-sky-headshot.webp,,Canonical compact headshot
superstar-full,mankind,Mankind,mankind,attitude-era-series-1,assets/images/mankind-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,mankind,Mankind,mankind,attitude-era-series-1,assets/images/mankind-menu.webp,,Canonical menu/hero image
superstar-headshot,mankind,Mankind,mankind,attitude-era-series-1,assets/images/mankind-headshot.webp,,Canonical compact headshot
superstar-full,the-rock,The Rock,the-rock,season-1-final-boss,assets/images/the-rock-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,the-rock,The Rock,the-rock,season-1-final-boss,assets/images/the-rock-menu.webp,,Canonical menu/hero image
superstar-headshot,the-rock,The Rock,the-rock,season-1-final-boss,assets/images/the-rock-headshot.webp,,Canonical compact headshot
superstar-full,the-rock-attitude,The Rock,the-rock-attitude,attitude-era-series-1,assets/images/the-rock-attitude-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,the-rock-attitude,The Rock,the-rock-attitude,attitude-era-series-1,assets/images/the-rock-attitude-menu.webp,,Canonical menu/hero image
superstar-headshot,the-rock-attitude,The Rock,the-rock-attitude,attitude-era-series-1,assets/images/the-rock-attitude-headshot.webp,,Canonical compact headshot
superstar-full,john-cena,John Cena,john-cena,ruthless-aggression-series-1,assets/images/john-cena-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,john-cena,John Cena,john-cena,ruthless-aggression-series-1,assets/images/john-cena-menu.webp,,Canonical menu/hero image
superstar-headshot,john-cena,John Cena,john-cena,ruthless-aggression-series-1,assets/images/john-cena-headshot.webp,,Canonical compact headshot
superstar-full,hulk-hogan,Hulk Hogan,hulk-hogan,golden-era-series-1,assets/images/hulk-hogan-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,hulk-hogan,Hulk Hogan,hulk-hogan,golden-era-series-1,assets/images/hulk-hogan-menu.webp,,Canonical menu/hero image
superstar-headshot,hulk-hogan,Hulk Hogan,hulk-hogan,golden-era-series-1,assets/images/hulk-hogan-headshot.webp,,Canonical compact headshot
superstar-full,bayley,Bayley,bayley,evolution-series-1,assets/images/bayley-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,bayley,Bayley,bayley,evolution-series-1,assets/images/bayley-menu.webp,,Canonical menu/hero image
superstar-headshot,bayley,Bayley,bayley,evolution-series-1,assets/images/bayley-headshot.webp,,Canonical compact headshot
superstar-full,cm-punk,CM Punk,cm-punk,summerslam-series-1,assets/images/cm-punk-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,cm-punk,CM Punk,cm-punk,summerslam-series-1,assets/images/cm-punk-menu.webp,,Canonical menu/hero image
superstar-headshot,cm-punk,CM Punk,cm-punk,summerslam-series-1,assets/images/cm-punk-headshot.webp,,Canonical compact headshot
superstar-full,paige,Paige,paige,evolution-series-1,assets/images/paige-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,paige,Paige,paige,evolution-series-1,assets/images/paige-menu.webp,,Canonical menu/hero image
superstar-headshot,paige,Paige,paige,evolution-series-1,assets/images/paige-headshot.webp,,Canonical compact headshot
superstar-full,seth-rollins,Seth Rollins,seth-rollins,summerslam-series-1,assets/images/seth-rollins-superstar.webp,,Canonical Superstar card/full portrait
